;ESCMAE;freq. relativa
0;1;0.010372300094580511
1;2;0.11307586513993796
2;3;0.6419211677142985
3;4;0.22905883188248524
4;5;0.0
5;6;0.0
6;7;0.0
7;8;0.0030214923033904354
