;CONSPRENAT;AC fri.;AL fri.;AP fri.;AM fri.;BA fri.;CE fri.;DF fri.;ES fri.;GO fri.;MA fri.;MT fri.;MS fri.;MG fri.;PA fri.;PB fri.;PR fri.;PE fri.;PI fri.;RN fri.;RS fri.;RJ fri.;RO fri.;RR fri.;SC fri.;SP fri.;SE fri.;TO fri.
10;20 a 22;9.668374746205163e-05;0.0012740919199406967;7.242178447276941e-05;0.0002918941008202224;0.0006004473332632812;0.0010579359113561068;0.0008522287071948763;0.0010939810781791293;0.0016215120599959462;0.0002202900053128766;0.001334260425084096;0.0019497126072974959;0.0020541956019857225;0.0004576748171735172;0.0009606373008434864;0.006968586056507174;0.0011152802033441115;0.00016056948644525918;0.0007017543859649122;0.002664230148496674;0.0013170355411448174;0.0007889785761971233;0.000278732695345164;0.002037032798516857;0.002820265767393312;0.0011506970568709893;0.0014411901441190144
11;22 a 24;0.0;0.00027798369162342475;0.0;2.9189410082022242e-05;6.004473332632811e-05;0.0001531223029594365;0.0001291255616961934;0.00024310690626202873;2.7025200999932437e-05;3.88747068199194e-05;0.00015033920282637702;0.00030385131542298634;0.0004117644337313723;0.000136328668945303;0.00011715089034676664;0.0017618987421781176;0.00018155724240485535;0.0;5.847953216374269e-05;0.0010161647040740518;0.00025086391259901284;0.00036414395824482614;0.0;0.00040054015701174156;0.0006282869645509655;0.00013277273733126798;4.649000464900047e-05
12;24 a 26;0.0;0.00016215715344699777;0.0;1.4594705041011121e-05;6.004473332632811e-05;2.784041871989755e-05;0.0001291255616961934;0.00014181236198618344;0.00013512600499966218;1.29582356066398e-05;3.7584800706594254e-05;0.0001772466006634087;0.0002544611669126458;3.895104827008657e-05;7.029053420805998e-05;0.0008453953605966753;6.0519080801618456e-05;0.0;0.0;0.00039280316291938144;0.00010034556503960514;0.0;9.2910898448388e-05;0.00011444004486049758;0.00018266490023686219;0.0002212878955521133;0.0
13;26 a 28;0.0;9.266123054114158e-05;0.0;0.0;2.2516774997373042e-05;2.784041871989755e-05;0.0;4.051781771033812e-05;5.405040199986487e-05;0.0;0.0;0.0;5.0892233382529156e-05;1.9475524135043285e-05;0.0;0.00026863030149800897;3.458233188663912e-05;0.0;2.9239766081871346e-05;0.00015370558549019273;3.1357989074876605e-05;6.069065970747102e-05;0.0;6.866402691629855e-05;4.416074511220844e-05;4.425757911042266e-05;0.0
14;28 a 30;0.0;4.633061527057079e-05;0.0;0.0;7.505591665791014e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9475524135043285e-05;2.3430178069353328e-05;0.00013431515074900448;4.32279148582989e-05;0.0;0.0;9.393119113289555e-05;4.390118470482725e-05;0.0;0.0;2.2888008972099517e-05;8.029226384037898e-06;0.0;0.0
15;30 a 32;0.0;4.633061527057079e-05;0.0;2.9189410082022242e-05;7.505591665791014e-06;0.0;0.0;0.0;8.107560299979732e-05;0.0;1.8792400353297127e-05;0.0;0.0;9.737762067521643e-06;2.3430178069353328e-05;3.1603564882118704e-05;8.64558297165978e-06;0.0;5.847953216374269e-05;4.269599596949798e-05;7.525917377970385e-05;6.069065970747102e-05;0.0;0.0;1.0036532980047373e-05;4.425757911042266e-05;0.0
16;32 a 34;0.0;0.0;0.0;1.4594705041011121e-05;1.5011183331582028e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3430178069353328e-05;0.0;0.0;0.0;0.0;8.539199193899596e-06;1.8814793444925962e-05;0.0;0.0;0.0;2.0073065960094745e-06;0.0;0.0
17;34 a 36;0.0;0.0;0.0;0.0;7.505591665791014e-06;1.3920209359948774e-05;2.5825112339238675e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.539199193899596e-06;3.7629586889851924e-05;0.0;0.0;0.0;2.0073065960094745e-06;0.0;0.0
18;36 a 38;9.668374746205163e-05;0.0;0.0;4.3784115123033366e-05;7.505591665791015e-05;0.0001113616748795902;2.5825112339238675e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.900891220529676e-06;5.1873497829958676e-05;0.0;0.00014619883040935673;5.977439435729717e-05;9.407396722462982e-05;0.0;0.0;0.0;0.0;0.0;0.0
19;38 a 40;0.0;0.00013899184581171237;0.0;0.00021892057561516683;0.00019514538331056637;2.784041871989755e-05;0.0001033004493569547;2.025890885516906e-05;0.0;0.0;0.0;0.0;9.25313334227803e-06;0.0;0.0;1.5801782441059352e-05;9.510141268825757e-05;0.0;0.0004970760233918128;9.393119113289555e-05;0.0002947650973038401;0.00012138131941494204;0.0;0.0;0.0;0.0;0.0
20;40 a 42;0.0;0.0;0.0;2.9189410082022242e-05;7.505591665791015e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.900891220529676e-06;4.32279148582989e-05;0.0;0.00020467836257309941;1.707839838779919e-05;0.00010661716285458046;6.069065970747102e-05;0.000185821796896776;0.0;0.0;0.0;0.0
