DataFrame;Soma Total;Média
Norte;1738864;7.1232221275480105
Nordeste;4662187;8.067197998335407
Sudeste;8177387;8.858297775076831
Sul;3070488;9.274801620264789
Centro-Oeste;1700362;8.276966212828514
