;IDADEMAE;ESCMAE;CONSPRENAT
count;21510.0;21510.0;21510.0
mean;26.031938633193864;4.122361692236169;8.104602510460252
std;6.57577616135011;0.6402853411210564;2.7583629055992156
min;11.0;1.0;1.0
25%;21.0;4.0;6.0
50%;25.0;4.0;8.0
75%;31.0;4.0;10.0
max;53.0;9.0;23.0
