;IDADEMAE;ESCMAE;CONSPRENAT
count;37367.0;37367.0;37367.0
mean;26.3293547782803;3.984157144004068;7.6420370915513685
std;6.707253630536873;0.6953447222424085;2.485336152569688
min;10.0;1.0;1.0
25%;21.0;4.0;6.0
50%;26.0;4.0;8.0
75%;31.0;4.0;9.0
max;51.0;9.0;21.0
