;IDADEMAE;ESCMAE;CONSPRENAT
count;68518.0;68518.0;68518.0
mean;25.006728159023908;3.9129863685454915;6.929770279342654
std;6.639139168374385;0.7512872590660152;2.9642903294979415
min;10.0;1.0;0.0
25%;20.0;4.0;5.0
50%;24.0;4.0;7.0
75%;29.0;4.0;9.0
max;50.0;9.0;40.0
