;IDADEMAE;ESCMAE;CONSPRENAT
count;77171.0;77171.0;77171.0
mean;24.994803747521736;3.9235723263920383;6.941428775057988
std;6.422503721557843;0.6819392951681389;2.564329169178608
min;10.0;1.0;0.0
25%;20.0;4.0;5.0
50%;24.0;4.0;7.0
75%;29.0;4.0;9.0
max;54.0;9.0;24.0
