;IDADEMAE;ESCMAE;CONSPRENAT
count;42680.0;42680.0;42680.0
mean;26.962089971883785;3.9853795688847233;8.350796626054358
std;6.8099777901023435;0.7041078527438177;2.635791160175602
min;12.0;1.0;0.0
25%;22.0;4.0;7.0
50%;26.0;4.0;8.0
75%;32.0;4.0;10.0
max;52.0;9.0;33.0
