;IDADEMAE;ESCMAE;CONSPRENAT
count;10343.0;10343.0;10343.0
mean;24.91511166972832;3.755196751426085;6.746398530407038
std;6.760106482047407;0.9787017443979593;2.818080615382016
min;12.0;1.0;0.0
25%;19.0;3.0;5.0
50%;24.0;4.0;7.0
75%;30.0;4.0;9.0
max;52.0;9.0;36.0
