;IDADEMAE;ESCMAE;CONSPRENAT
count;22595.0;22595.0;22595.0
mean;27.206594379287452;3.9500774507634433;7.910157114405842
std;6.870118729331814;0.7010307212062384;2.9191369428959963
min;11.0;1.0;1.0
25%;22.0;4.0;6.0
50%;27.0;4.0;8.0
75%;32.0;4.0;10.0
max;52.0;9.0;30.0
