;IDADEMAE;ESCMAE;CONSPRENAT
count;38722.0;38722.0;38722.0
mean;28.618072413615;4.3148855947523375;8.409379680801612
std;6.773304572844896;0.7253004842250952;2.938030246138794
min;12.0;1.0;0.0
25%;23.0;4.0;7.0
50%;29.0;4.0;9.0
75%;34.0;5.0;10.0
max;54.0;9.0;38.0
