;IDADEMAE;ESCMAE;CONSPRENAT
count;115666.0;115666.0;115666.0
mean;26.5940812338976;3.9518095205159685;8.460040115504988
std;6.704827478798313;0.6946659089724022;2.8738604866737654
min;11.0;1.0;0.0
25%;21.0;4.0;7.0
50%;26.0;4.0;8.0
75%;32.0;4.0;10.0
max;53.0;9.0;41.0
