;ESCMAE;AC fri.;AL fri.;AP fri.;AM fri.;BA fri.;CE fri.;DF fri.;ES fri.;GO fri.;MA fri.;MT fri.;MS fri.;MG fri.;PA fri.;PB fri.;PR fri.;PE fri.;PI fri.;RN fri.;RS fri.;RJ fri.;RO fri.;RR fri.;SC fri.;SP fri.;SE fri.;TO fri.
0;1;0.040123755196751425;0.025134358784284654;0.01723638470451912;0.01939636299950378;0.016805019739706082;0.013767087056989338;0.005035896906151542;0.00668543992220579;0.0047564353759881085;0.019566935766026097;0.006690094525773777;0.010533512267996861;0.00595901787242705;0.025522674378974226;0.01740862230552952;0.007253018140446242;0.02039493023014542;0.01972328525169267;0.013450292397660818;0.0048417259429410706;0.008554459419626338;0.008436001699338471;0.009569822540183964;0.006603190588450711;0.0032638805251114056;0.02279265324186767;0.00906555090655509
1;2;0.19201392245963453;0.19658080059303187;0.17265353418308227;0.146997869173064;0.16315655163096507;0.138046716222612;0.09351273178038325;0.11944652661007678;0.06887372474832781;0.15798680851615243;0.07216281735666097;0.12597169118577975;0.08305149831361645;0.2133641046614667;0.16768978444236177;0.09875323936540041;0.16609894005152767;0.1589905531618808;0.17710526315789474;0.10707301869230704;0.12807229897961103;0.12453723371973054;0.10842701848926879;0.08869103476688563;0.05337628969448793;0.19052887807036956;0.10427708042770804
2;3;0.5628927777240645;0.632065418828762;0.6211616454229433;0.7044134388044018;0.6481528738910488;0.7033464183301317;0.4979598161252001;0.6348736857032881;0.633200459428417;0.6933563126044757;0.6615676620374721;0.6108171068290583;0.6520498003636481;0.6095741676647872;0.6231724461105904;0.6092061184501611;0.647822177649439;0.6355875505124843;0.639766081871345;0.6102111743960651;0.6381538924671839;0.6342780846027797;0.6592028244913128;0.6033508045135154;0.6602774097715685;0.5946448329276388;0.6435611343561134
3;4;0.15401720970704824;0.1391308376575241;0.18329953650057937;0.11175165649902216;0.15379707882372368;0.13675213675213677;0.39861060895614897;0.23790036668625028;0.2921559354097696;0.1214445841054282;0.25412962997763705;0.25001899070721395;0.2571075630485373;0.13348524242158666;0.18706654170571696;0.28252006826370013;0.16034098179240225;0.1815505660074397;0.16251461988304094;0.27645657390249945;0.2196376270782507;0.2308065788675123;0.17086314224658553;0.2994895973999222;0.28177164880163796;0.1900420447001549;0.2407252440725244
4;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;8;0.0032872474137097553;2.3165307635285396e-05;0.00028968713789107763;0.004918415598820748;0.01569419217316901;0.005164397672540995;0.004312793760652859;6.077672656550718e-05;0.00033781501249915546;0.0027730624198209174;0.0018228628342698214;0.00045577697313447954;0.0007772632007513544;0.012026136153389228;0.0018509840674789128;0.0013352506162695153;0.0017982812581052341;0.0016859796076752216;0.004941520467836257;0.0006148223419607709;0.004891846295680751;0.0009710505553195363;0.010777664220013007;0.0011329564441189262;0.0006463527239150508;0.00026554547466253595;0.001394700139470014
