;IDADEMAE;ESCMAE;CONSPRENAT
count;16477.0;16477.0;16477.0
mean;26.13485464587;4.091339442859744;8.510287066820416
std;6.254264643480616;0.6432618109091547;2.8349805953223397
min;12.0;1.0;0.0
25%;21.0;4.0;7.0
50%;26.0;4.0;8.0
75%;31.0;4.0;10.0
max;50.0;9.0;40.0
