;IDADEMAE;ESCMAE;CONSPRENAT
count;71838.0;71838.0;71838.0
mean;26.602369219633065;3.988223502881483;8.71189342687714
std;6.623066461326926;0.696530262280871;2.7393308169758663
min;11.0;1.0;1.0
25%;21.0;4.0;7.0
50%;26.0;4.0;9.0
75%;31.0;4.0;10.0
max;54.0;9.0;38.0
