;IDADEMAE;ESCMAE;CONSPRENAT
count;10763.0;10763.0;10763.0
mean;25.008454891758802;3.973706215739106;6.6540927250766515
std;6.370901655364618;0.978184208974877;3.000513912735371
min;11.0;1.0;0.0
25%;20.0;4.0;5.0
50%;24.0;4.0;7.0
75%;29.0;4.0;9.0
max;48.0;9.0;41.0
