;IDADEMAE;ESCMAE;CONSPRENAT
count;43168.0;43168.0;43168.0
mean;25.61026686434396;3.871200889547813;7.885725537435137
std;6.588098539334041;0.6955853455635873;2.8344377230961344
min;11.0;1.0;0.0
25%;20.0;4.0;6.0
50%;25.0;4.0;8.0
75%;30.0;4.0;10.0
max;52.0;9.0;39.0
