;IDADEMAE;ESCMAE;CONSPRENAT
count;13808.0;13808.0;13808.0
mean;25.759994206257243;3.9615440324449596;5.956909038238702
std;6.829614304569519;0.6920473393473547;2.6798103328111735
min;11.0;1.0;0.0
25%;20.0;4.0;4.0
50%;25.0;4.0;6.0
75%;31.0;4.0;8.0
max;53.0;9.0;20.0
