;IDADEMAE;ESCMAE;CONSPRENAT
count;34200.0;34200.0;34200.0
mean;26.90684210526316;3.9765497076023393;8.303187134502924
std;6.670103695658605;0.7324102901042479;2.869284226177994
min;11.0;1.0;0.0
25%;22.0;4.0;7.0
50%;26.0;4.0;8.0
75%;32.0;4.0;10.0
max;49.0;9.0;40.0
