;IDADEMAE;ESCMAE;CONSPRENAT
count;117107.0;117107.0;117107.0
mean;28.218526646571085;4.160366160861434;9.074513052165967
std;6.649003847925127;0.632279468006364;3.0379051755570075
min;11.0;1.0;0.0
25%;23.0;4.0;7.0
50%;28.0;4.0;9.0
75%;33.0;5.0;11.0
max;52.0;9.0;40.0
