;IDADEMAE;ESCMAE;CONSPRENAT
count;159449.0;159449.0;159449.0
mean;27.360917911056198;4.0968460134588485;8.376346041681039
std;6.7157986183009015;0.7078536537089013;2.9126482038770094
min;11.0;1.0;0.0
25%;22.0;4.0;7.0
50%;27.0;4.0;8.0
75%;32.0;4.0;10.0
max;54.0;9.0;41.0
