;IDADEMAE;ESCMAE;CONSPRENAT
count;133234.0;133234.0;133234.0
mean;26.98375789963523;4.028318597355029;8.083852470090218
std;6.885433305722034;0.892905990866626;2.778970189603598
min;8.0;1.0;0.0
25%;21.0;4.0;6.0
50%;26.0;4.0;8.0
75%;32.0;4.0;10.0
max;54.0;9.0;40.0
