;IDADEMAE;ESCMAE;CONSPRENAT
count;74005.0;74005.0;74005.0
mean;27.135071954597663;4.213431524896967;8.186568475103034
std;6.454258170101406;0.5907902738918064;2.739093947950252
min;12.0;1.0;0.0
25%;22.0;4.0;6.0
50%;27.0;4.0;8.0
75%;32.0;5.0;10.0
max;53.0;9.0;30.0
