;IDADEMAE;ESCMAE;CONSPRENAT
count;498180.0;498180.0;498180.0
mean;28.315355895459472;4.223106106226665;9.083052310409892
std;6.630050839911912;0.566185794490901;2.8728850575312737
min;11.0;1.0;1.0
25%;23.0;4.0;7.0
50%;28.0;4.0;9.0
75%;33.0;5.0;11.0
max;55.0;9.0;34.0
