;IDADEMAE;ESCMAE;CONSPRENAT
count;126568.0;126568.0;126568.0
mean;27.576030276215157;4.173140130206687;9.778008659376777
std;6.509362943186218;0.6496793226042077;3.267004281118781
min;11.0;1.0;1.0
25%;22.0;4.0;8.0
50%;27.0;4.0;10.0
75%;32.0;5.0;12.0
max;53.0;9.0;40.0
