;IDADEMAE;ESCMAE;CONSPRENAT
count;49361.0;49361.0;49361.0
mean;27.659164117420637;4.102287230809749;8.229391624967079
std;6.737524904425432;0.6200419512464801;2.830330338739229
min;11.0;1.0;0.0
25%;22.0;4.0;6.0
50%;27.0;4.0;8.0
75%;33.0;4.0;10.0
max;52.0;9.0;38.0
