;IDADEMAE;ESCMAE;CONSPRENAT
count;102693.0;102693.0;102693.0
mean;25.085254106901154;3.91112344560973;7.068125383424381
std;6.423950088212989;0.8921609887095772;2.9222107338369296
min;8.0;1.0;0.0
25%;20.0;4.0;5.0
50%;24.0;4.0;7.0
75%;29.0;4.0;9.0
max;52.0;9.0;30.0
