;IDADEMAE;ESCMAE;CONSPRENAT
count;87382.0;87382.0;87382.0
mean;28.075782197706623;4.2010597148154085;8.814355359227301
std;6.42045625352386;0.6396004416032701;2.8480242986195448
min;11.0;1.0;1.0
25%;23.0;4.0;7.0
50%;28.0;4.0;9.0
75%;33.0;5.0;10.0
max;54.0;9.0;28.0
