;IDADEMAE;ESCMAE;CONSPRENAT
count;2281654.0;2281654.0;2281654.0
mean;27.238952531803683;4.102694799474416;8.480377831169845
std;6.713477424315707;0.6867082900420239;2.9616470900857546
min;8.0;1.0;0.0
25%;22.0;4.0;7.0
50%;27.0;4.0;8.0
75%;32.0;4.0;10.0
max;55.0;9.0;41.0
